Time,Power,Class
534,0,fridge
535,0,fridge
536,0,fridge
537,0,fridge
538,0,fridge
539,0,fridge
540,0,fridge
541,0,fridge
542,0,fridge
543,0,fridge
544,0,fridge
545,0,fridge
546,0,fridge
547,0,fridge
548,0,fridge
549,0,fridge
550,0,fridge
551,0,fridge
552,0,fridge
553,0,fridge
554,0,fridge
555,0,fridge
556,0.087,fridge
557,0.156,fridge
558,0.144,fridge
559,0.126,fridge
560,0.141,fridge
561,0.129,fridge
562,0.135,fridge
563,0.147,fridge
564,0.138,fridge
565,0.144,fridge
566,0.141,fridge
567,0.165,fridge
568,0.138,fridge
569,0.147,fridge
570,0.138,fridge
571,0.153,fridge
572,0.168,fridge
573,0.141,fridge
574,0.144,fridge
575,0.147,fridge
576,0.147,fridge
577,0.141,fridge
578,0.009,fridge
579,0,fridge
580,0,fridge
581,0,fridge
582,0,fridge
583,0,fridge
584,0,fridge
585,0,fridge
586,0,fridge
587,0,fridge
588,0,fridge
589,0,fridge
590,0,fridge
591,0,fridge
592,0,fridge
593,0,fridge
594,0,fridge
595,0,fridge
596,0,fridge
597,0,fridge
598,0,fridge
599,0,fridge
600,0,fridge
601,0,fridge
602,0,fridge
603,0,fridge
604,0,fridge
605,0.078,fridge
606,0.153,fridge
607,0.159,fridge
608,0.192,fridge
609,0.144,fridge
610,0.144,fridge
611,0.141,fridge
612,0.144,fridge
613,0.117,fridge
614,0.153,fridge
615,0.15,fridge
616,0.135,fridge
617,0.165,fridge
618,0.135,fridge
619,0.144,fridge
620,0.159,fridge
621,0.135,fridge
622,0.153,fridge
623,0.153,fridge
624,0.114,fridge
625,0.144,fridge
626,0.045,fridge
627,0,fridge
628,0,fridge
629,0,fridge
630,0,fridge
631,0,fridge
632,0,fridge
633,0,fridge
634,0,fridge
635,0,fridge
636,0,fridge
637,0,fridge
638,0,fridge
639,0,fridge
640,0,fridge
641,0,fridge
642,0,fridge
643,0,fridge
644,0,fridge
645,0,fridge
646,0,fridge
647,0,fridge
648,0,fridge
649,0,fridge
650,0,fridge
651,0,fridge
652,0,fridge
653,0.048,fridge
654,0.162,fridge
655,0.138,fridge
656,0.141,fridge
657,0.072,fridge
658,0.156,fridge
659,0.141,fridge
660,0.165,fridge
661,0.126,fridge
662,0.141,fridge
663,0.132,fridge
664,0.126,fridge
665,0.132,fridge
666,0.15,fridge
667,0.141,fridge
668,0.15,fridge
669,0.123,fridge
670,0.132,fridge
671,0.141,fridge
672,0.144,fridge
673,0.138,fridge
674,0.138,fridge
675,0,fridge
676,0,fridge
677,0,fridge
678,0,fridge
679,0,fridge
680,0,fridge
681,0,fridge
682,0,fridge
683,0,fridge
684,0,fridge
685,0,fridge
686,0,fridge
687,0,fridge
688,0,fridge
689,0,fridge
690,0,fridge
691,0,fridge
692,0,fridge
693,0,fridge
694,0,fridge
695,0,fridge
696,0,fridge
697,0,fridge
698,0,fridge
699,0,fridge
700,0,fridge
701,0,fridge
702,0.159,fridge
703,0.144,fridge
704,0.156,fridge
705,0.15,fridge
706,0.123,fridge
707,0.165,fridge
708,0.111,fridge
709,0.168,fridge
710,0.135,fridge
711,0.141,fridge
712,0.141,fridge
713,0.153,fridge
714,0.135,fridge
715,0.138,fridge
716,0.141,fridge
717,0.141,fridge
718,0.141,fridge
719,0.129,fridge
720,0.144,fridge
721,0.135,fridge
722,0.129,fridge
723,0.048,fridge
724,0,fridge
725,0,fridge
726,0,fridge
727,0,fridge
728,0,fridge
729,0,fridge
730,0,fridge
731,0,fridge
732,0,fridge
733,0,fridge
734,0,fridge
735,0,fridge
736,0,fridge
737,0,fridge
738,0,fridge
739,0,fridge
740,0,fridge
741,0,fridge
742,0,fridge
743,0,fridge
744,0,fridge
745,0,fridge
746,0,fridge
747,0,fridge
748,0,fridge
749,0,fridge
750,0.024,fridge
751,0.222,fridge
752,0.189,fridge
753,0.156,fridge
754,0.156,fridge
755,0.156,fridge
756,0.147,fridge
757,0.144,fridge
758,0.156,fridge
759,0.147,fridge
760,0.135,fridge
761,0.174,fridge
762,0.156,fridge
763,0.144,fridge
764,0.147,fridge
765,0.105,fridge
766,0.153,fridge
767,0.156,fridge
768,0.147,fridge
769,0.177,fridge
770,0.126,fridge
771,0.129,fridge
772,0,fridge
773,0,fridge
774,0,fridge
775,0,fridge
776,0,fridge
777,0,fridge
778,0,fridge
779,0,fridge
780,0,fridge
781,0,fridge
782,0,fridge
783,0,fridge
784,0,fridge
785,0,fridge
786,0,fridge
787,0,fridge
788,0,fridge
789,0,fridge
790,0,fridge
791,0,fridge
792,0,fridge
793,0,fridge
794,0,fridge
795,0,fridge
796,0,fridge
797,0,fridge
798,0,fridge
799,0.099,fridge
800,0.177,fridge
801,0.153,fridge
802,0.147,fridge
803,0.114,fridge
804,0.156,fridge
805,0.15,fridge
806,0.123,fridge
807,0.129,fridge
808,0.153,fridge
809,0.138,fridge
810,0.138,fridge
811,0.174,fridge
812,0.141,fridge
813,0.141,fridge
814,0.15,fridge
815,0.144,fridge
816,0.123,fridge
817,0.156,fridge
818,0.138,fridge
819,0.138,fridge
820,0.018,fridge
821,0,fridge
822,0,fridge
823,0,fridge
824,0,fridge
825,0,fridge
826,0,fridge
827,0,fridge
828,0,fridge
829,0,fridge
830,0,fridge
831,0,fridge
832,0,fridge
833,0,fridge
834,0,fridge
835,0,fridge
836,0,fridge
837,0,fridge
838,0,fridge
839,0,fridge
840,0,fridge
841,0,fridge
842,0,fridge
843,0,fridge
844,0,fridge
845,0,fridge
846,0,fridge
847,0.033,fridge
848,0.18,fridge
849,0.15,fridge
850,0.147,fridge
851,0.147,fridge
852,0.144,fridge
853,0.129,fridge
854,0.156,fridge
855,0.141,fridge
856,0.141,fridge
857,0.12,fridge
858,0.09,fridge
859,0.141,fridge
860,0.144,fridge
861,0.144,fridge
862,0.141,fridge
863,0.141,fridge
864,0.138,fridge
865,0.138,fridge
866,0.129,fridge
867,0.12,fridge
868,0.123,fridge
869,0,fridge
870,0,fridge
871,0,fridge
872,0,fridge
873,0,fridge
874,0,fridge
875,0,fridge
876,0,fridge
877,0,fridge
878,0,fridge
879,0,fridge
880,0,fridge
881,0,fridge
882,0,fridge
883,0,fridge
884,0,fridge
885,0,fridge
886,0,fridge
887,0,fridge
888,0,fridge
889,0,fridge
890,0,fridge
891,0,fridge
892,0,fridge
893,0,fridge
894,0,fridge
895,0,fridge
896,0.156,fridge
897,0.153,fridge
898,0.159,fridge
899,0.144,fridge
900,0.171,fridge
901,0.15,fridge
902,0.147,fridge
903,0.156,fridge
904,0.141,fridge
905,0.144,fridge
906,0.138,fridge
907,0.141,fridge
908,0.165,fridge
909,0.165,fridge
910,0.168,fridge
911,0.138,fridge
912,0.132,fridge
913,0.168,fridge
914,0.132,fridge
915,0.138,fridge
916,0.108,fridge
917,0,fridge
918,0,fridge
919,0,fridge
920,0,fridge
921,0,fridge
922,0,fridge
923,0,fridge
924,0,fridge
925,0,fridge
926,0,fridge
927,0,fridge
928,0,fridge
929,0,fridge
930,0,fridge
931,0,fridge
932,0,fridge
933,0,fridge
934,0,fridge
935,0,fridge
936,0,fridge
937,0,fridge
938,0,fridge
939,0,fridge
940,0,fridge
941,0,fridge
942,0,fridge
943,0,fridge
944,0.108,fridge
945,0.153,fridge
946,0.153,fridge
947,0.147,fridge
948,0.144,fridge
949,0.12,fridge
950,0.141,fridge
951,0.138,fridge
952,0.15,fridge
953,0.132,fridge
954,0.174,fridge
955,0.198,fridge
956,0.171,fridge
957,0.174,fridge
958,0.168,fridge
959,0.141,fridge
960,0.144,fridge
